Col37,Col38
462,255,2038
463,0,1467
464,0,2147
465,243,1986
466,0,1803
467,0,2172
468,279,1541
469,0,2057
470,200,2094
471,0,1490
472,0,2196
473,107,1157
474,0,1835
475,415,1942
476,0,1225
477,40,2162
478,0,965
479,0,1464
480,489,1392
481,0,940
482,125,1635
483,0,891
484,0,1024
485,377,1927
486,0,921
487,0,1576
488,385,1973
489,0,1059
490,0,1911
491,186,2125
492,0,1311
493,0,2106
494,125,2118
495,0,1584
496,0,2149
497,309,1851
498,0,1914
499,0,2192
500,0,1252
501,0,2127
502,447,1677
503,0,1607
504,71,2196
505,0,1104
506,0,1995
507,184,1083
508,0,1314
509,467,1863
510,0,931
511,0,1447
