Col37,Col38
0,2332,2441
1,2297,2432
2,2252,2404
3,2183,2344
4,2115,2269
5,2037,2172
6,1967,2066
7,1897,1952
8,1837,1838
9,1784,1724
10,1742,1622
11,1705,1525
12,1678,1442
13,1653,1366
14,1636,1303
15,1621,1245
16,1620,1213
17,1687,1252
18,1807,1371
19,1940,1541
20,2073,1740
21,2178,1932
22,2260,2106
23,2308,2244
24,2333,2344
25,2340,2404
26,2329,2436
27,2292,2432
28,2240,2401
29,2169,2340
30,2098,2256
31,2017,2151
32,1947,2039
33,1875,1919
34,1818,1805
35,1764,1692
36,1724,1590
37,1690,1495
38,1668,1415
39,1644,1341
40,1630,1283
41,1614,1228
42,1608,1194
43,1620,1173
44,1711,1247
45,1838,1388
46,1977,1580
47,2101,1782
48,2206,1980
49,2276,2145
50,2321,2276
51,2337,2364
52,2332,2417
53,2293,2424
54,2240,2400
55,2164,2336
56,2086,2247
57,2004,2136
58,1930,2018
59,1858,1893
60,1801,1774
61,1749,1660
62,1712,1558
63,1678,1464
64,1655,1388
65,1634,1317
66,1621,1261
67,1608,1209
68,1553,1157
69,1612,1158
70,1702,1230
71,1828,1371
72,1969,1564
73,2094,1768
74,2200,1968
75,2269,2137
76,2321,2273
77,2332,2360
78,2321,2412
79,2276,2414
80,2216,2380
81,2134,2308
82,2055,2212
83,1972,2092
84,1900,1971
85,1830,1844
86,1775,1725
87,1729,1612
88,1694,1515
89,1664,1426
90,1642,1353
91,1625,1287
92,1613,1236
93,1600,1188
94,1602,1163
95,1666,1204
96,1787,1327
97,1921,1504
98,2057,1710
99,2166,1909
100,2251,2092
101,2304,2232
102,2334,2340
103,2333,2402
104,2310,2428
105,2256,2412
106,2191,2364
107,2111,2280
108,2031,2179
109,1948,2060
110,1879,1939
111,1815,1814
112,1765,1700
113,1719,1592
114,1687,1499
115,1660,1412
116,1640,1343
117,1621,1280
118,1601,1231
119,1624,1211
120,1714,1279
121,1838,1412
122,1975,1598
123,2098,1796
124,2200,1988
125,2270,2148
126,2316,2279
127,2332,2364
128,2334,2418
129,2312,2436
130,2275,2428
131,2213,2384
132,2148,2319
133,2066,2226
134,1992,2122
135,1917,2004
136,1854,1889
137,1796,1770
138,1756,1665
139,1709,1560
140,1681,1472
141,1654,1392
142,1636,1326
143,1628,1263
144,1637,1248
145,1721,1308
146,1852,1444
147,1984,1621
148,2104,1818
149,2200,2000
150,2272,2162
151,2312,2281
152,2333,2370
153,2340,2420
154,2319,2440
155,2288,2433
156,2242,2405
157,2178,2349
158,2109,2274
159,2032,2178
160,1962,2074
161,1892,1957
162,1832,1845
163,1780,1732
164,1737,1629
165,1700,1531
166,1674,1447
167,1640,1366
168,1665,1341
169,1747,1389
170,1870,1511
171,1997,1673
172,2112,1854
173,2204,2024
174,2272,2175
175,2308,2286
176,2327,2368
177,2326,2412
178,2319,2435
179,2304,2432
180,2282,2423
181,2244,2396
182,2199,2354
183,2138,2292
184,2074,2220
185,2001,2125
186,1936,2025
187,1874,1916
188,1820,1809
189,1769,1700
190,1731,1603
191,1696,1509
192,1714,1476
193,1796,1515
194,1910,1622
195,2025,1768
196,2134,1926
197,2212,2074
198,2274,2204
199,2306,2301
200,2324,2372
201,2320,2408
202,2310,2425
203,2293,2424
204,2280,2415
205,2264,2397
206,2245,2380
207,2212,2349
208,2169,2310
209,2112,2252
210,2052,2180
211,1985,2089
212,1923,1992
213,1861,1884
214,1810,1780
