Col37,Col38
215,1764,1676
216,1772,1626
217,1838,1642
218,1940,1724
219,2040,1839
220,2138,1975
221,2212,2102
222,2268,2216
223,2296,2301
224,2314,2364
225,2312,2398
226,2306,2415
227,2292,2413
228,2278,2408
229,2263,2391
230,2255,2380
231,2244,2364
232,2225,2349
233,2196,2324
234,2151,2286
235,2094,2226
236,2036,2154
237,1968,2061
238,1907,1962
239,1846,1854
240,1799,1752
241,1803,1694
242,1866,1708
243,1954,1773
244,2054,1881
245,2140,1998
246,2214,2121
247,2265,2221
248,2296,2304
249,2308,2358
250,2311,2395
251,2304,2407
252,2290,2410
253,2276,2401
254,2266,2391
255,2254,2376
256,2246,2362
257,2240,2355
258,2218,2338
259,2188,2313
260,2136,2267
261,2079,2207
262,2011,2124
263,1952,2033
264,1890,1930
265,1844,1833
266,1866,1794
267,1928,1809
268,2013,1877
269,2096,1969
270,2176,2076
271,2231,2172
272,2276,2260
273,2294,2324
274,2304,2369
275,2302,2391
276,2296,2404
277,2282,2400
278,2272,2394
279,2260,2381
280,2255,2372
281,2245,2360
282,2244,2354
283,2233,2344
284,2212,2330
285,2172,2300
286,2123,2253
287,2060,2184
288,1998,2101
289,1932,2001
290,1876,1901
291,1869,1837
292,1919,1836
293,1993,1881
294,2078,1964
295,2151,2057
296,2216,2156
297,2261,2237
298,2291,2309
299,2301,2353
300,2305,2384
301,2296,2396
302,2290,2400
303,2276,2393
304,2269,2386
305,2257,2372
306,2252,2365
307,2245,2356
308,2245,2351
309,2231,2340
310,2204,2324
311,2159,2286
312,2106,2236
313,2044,2160
314,1980,2072
315,1913,1969
316,1858,1866
317,1854,1801
318,1907,1801
319,1982,1848
320,2071,1937
321,2149,2036
322,2216,2141
323,2261,2229
324,2293,2304
325,2305,2353
326,2308,2386
327,2300,2400
328,2292,2404
329,2276,2395
330,2271,2388
331,2258,2373
332,2254,2366
333,2247,2356
334,2244,2349
335,2222,2336
336,2192,2314
337,2144,2272
338,2087,2212
339,2021,2131
340,1959,2039
341,1894,1932
342,1840,1828
343,1796,1728
344,1828,1695
345,1893,1720
346,1991,1804
347,2084,1913
348,2172,2036
349,2236,2149
350,2281,2248
351,2304,2320
352,2316,2372
353,2312,2400
354,2305,2410
355,2292,2408
356,2276,2400
357,2265,2385
358,2260,2375
359,2248,2360
360,2240,2351
361,2213,2332
362,2178,2303
363,2125,2252
364,2068,2186
365,2001,2100
366,1938,2004
367,1876,1896
368,1824,1791
369,1773,1686
370,1778,1630
371,1840,1642
372,1940,1719
373,2041,1831
374,2140,1966
375,2214,2093
376,2271,2209
377,2304,2296
378,2321,2361
379,2320,2396
380,2314,2415
381,2300,2413
382,2288,2409
383,2272,2393
384,2263,2381
385,2252,2365
386,2236,2351
387,2202,2326
388,2161,2289
389,2102,2229
390,2042,2158
391,1976,2068
392,1916,1968
393,1857,1861
394,1806,1756
395,1760,1650
396,1721,1556
397,1706,1484
398,1767,1494
399,1868,1572
400,1988,1704
401,2096,1857
402,2192,2014
403,2257,2151
404,2304,2264
405,2325,2344
406,2333,2397
407,2324,2420
408,2314,2428
409,2296,2420
410,2284,2406
411,2264,2388
412,2238,2365
413,2196,2328
414,2146,2280
415,2082,2210
416,2020,2129
417,1952,2030
418,1892,1930
419,1833,1821
420,1786,1718
421,1742,1615
422,1709,1524
423,1679,1438
424,1701,1410
425,1785,1457
426,1905,1574
427,2025,1728
428,2140,1899
429,2222,2058
430,2284,2197
431,2317,2300
432,2333,2373
433,2329,2412
434,2320,2430
435,2300,2428
436,2290,2418
437,2265,2397
438,2236,2370
439,2186,2325
440,2129,2268
441,2064,2189
442,1997,2101
443,1930,1998
444,1873,1896
445,1815,1785
446,1770,1682
447,1729,1582
448,1697,1493
449,1668,1410
450,1648,1341
451,1640,1292
452,1708,1322
453,1820,1425
454,1953,1588
455,2076,1770
456,2181,1957
457,2256,2118
458,2305,2249
459,2335,2348
460,2338,2402
461,2332,2433
462,2315,2437
463,2287,2427
464,2241,2393
465,2185,2342
466,2119,2272
467,2044,2180
468,1977,2079
469,1908,1967
470,1850,1857
471,1793,1746
472,1756,1644
473,1713,1545
474,1685,1460
475,1658,1381
476,1640,1316
477,1621,1260
478,1655,1256
479,1750,1330
480,1881,1476
481,2012,1658
482,2133,1854
483,2224,2032
484,2289,2186
485,2326,2300
486,2344,2380
487,2340,2422
488,2327,2440
489,2292,2429
490,2244,2397
491,2176,2336
492,2104,2260
493,2028,2160
494,1956,2053
495,1884,1934
496,1828,1824
497,1773,1712
498,1735,1610
499,1700,1515
500,1676,1433
501,1652,1357
502,1636,1296
503,1617,1239
504,1612,1197
505,1640,1200
506,1745,1289
507,1873,1441
508,2012,1637
509,2129,1837
510,2223,2025
511,2288,2182
