Col37,Col38
0,4095,2099
1,4095,2128
2,4095,2086
3,4095,1964
4,4095,1588
5,4095,1401
6,4095,1873
7,4095,2139
8,4095,2120
9,4095,2048
10,4095,1764
11,4095,1346
12,4095,1361
13,4095,1938
14,4095,2158
15,4095,2117
16,4095,1912
17,4095,1513
18,4095,1152
19,4095,1538
20,4095,2072
21,4095,2160
22,4095,2041
23,4095,1692
24,4095,1282
25,4095,1128
26,4095,1759
27,4095,2148
28,4095,2130
29,4095,1869
30,4095,1441
31,4095,1096
32,4095,1126
33,4095,1843
34,4095,2170
35,4095,2038
36,4095,1628
37,4095,1218
38,4095,964
39,4095,1266
40,4095,1979
41,4095,2157
42,4095,1826
43,4095,1367
44,4095,1042
45,4095,919
46,4095,1583
47,4095,2122
48,4095,2027
49,4095,1557
50,4095,1159
51,4095,930
52,4095,1244
53,4095,1968
54,4095,2138
55,4095,1767
56,4095,1299
57,4095,1010
58,4095,1014
59,4095,1762
60,4095,2156
61,4095,1958
62,4095,1484
63,4095,1109
64,4095,987
65,4095,1654
66,4095,2137
67,4095,2082
68,4095,1670
69,4095,1246
70,4095,1040
71,4095,1653
72,4095,2127
73,4095,2138
74,4095,1840
75,4095,1408
76,4095,1152
77,4095,1698
78,4095,2131
79,4095,2146
80,4095,1974
81,4095,1586
82,4095,1218
83,4095,1599
84,4095,2080
85,4095,2157
86,4095,2062
87,4095,1766
88,4095,1370
89,4095,1650
90,4095,2076
91,4095,2142
92,4095,2093
93,4095,1919
94,4095,1531
95,4095,1654
96,4095,2044
97,4095,2140
98,4095,2094
99,4095,2025
100,4095,1708
101,4095,1610
102,4095,1975
103,4095,2130
104,4095,2108
105,4095,2067
106,4095,1873
107,4095,1548
108,4095,1828
109,4095,2100
110,4095,2124
111,4095,2086
112,4095,1984
113,4095,1643
114,4095,1624
115,4095,2004
116,4095,2134
117,4095,2102
118,4095,2055
119,4095,1809
120,4095,1430
121,4095,1718
122,4095,2089
123,4095,2134
124,4095,2091
125,4095,1946
126,4095,1568
127,4095,1298
128,4095,1787
129,4095,2132
130,4095,2131
131,4095,2048
132,4095,1738
133,4095,1325
134,4095,1383
135,4095,1962
136,4095,2162
137,4095,2106
138,4095,1899
139,4095,1492
140,4095,1149
141,4095,1572
142,4095,2083
143,4095,2161
144,4095,2024
145,4095,1668
146,4095,1259
147,4095,1042
148,4095,1636
149,4095,2119
150,4095,2145
151,4095,1850
152,4095,1416
153,4095,1078
154,4095,1040
155,4095,1759
156,4095,2156
157,4095,2041
158,4095,1602
159,4095,1196
160,4095,950
161,4095,1216
162,4095,1951
163,4095,2152
164,4095,1823
165,4095,1350
166,4095,1033
167,4095,923
168,4095,1607
169,4095,2128
170,4095,2002
171,4095,1533
172,4095,1135
173,4095,920
174,4095,1280
175,4095,1996
176,4095,2130
177,4095,1738
178,4095,1285
179,4095,995
180,4095,1121
181,4095,1868
182,4095,2168
183,4095,1920
184,4095,1447
185,4095,1097
186,4095,1104
187,4095,1820
188,4095,2164
189,4095,2051
190,4095,1643
191,4095,1228
192,4095,1181
193,4095,1837
194,4095,2160
195,4095,2110
196,4095,1815
197,4095,1392
198,4095,1162
199,4095,1733
200,4095,2134
201,4095,2141
202,4095,1958
203,4095,1570
204,4095,1296
205,4095,1774
206,4095,2133
207,4095,2135
208,4095,2048
209,4095,1747
210,4095,1424
211,4095,1787
212,4095,2107
213,4095,2135
214,4095,2080
215,4095,1904
216,4095,1536
217,4095,1744
218,4095,2077
219,4095,2130
220,4095,2095
221,4095,2012
222,4095,1688
223,4095,1634
224,4095,1998
225,4095,2134
226,4095,2100
227,4095,2071
228,4095,1854
229,4095,1548
230,4095,1843
231,4095,2107
232,4095,2124
233,4095,2082
234,4095,1983
235,4095,1618
236,4095,1573
237,4095,1982
238,4095,2138
239,4095,2108
240,4095,2051
241,4095,1795
242,4095,1384
243,4095,1624
244,4095,2058
245,4095,2146
246,4095,2094
247,4095,1930
248,4095,1549
249,4095,1215
250,4095,1669
251,4095,2104
252,4095,2146
253,4095,2041
254,4095,1718
255,4095,1311
256,4095,1410
257,4095,1980
258,4095,2158
259,4095,2102
260,4095,1882
261,4095,1471
262,4095,1123
263,4095,1421
264,4095,2027
265,4095,2166
266,4095,2026
267,4095,1650
268,4095,1242
269,4095,993
270,4095,1502
271,4095,2080
272,4095,2155
273,4095,1841
274,4095,1396
275,4095,1063
276,4095,979
277,4095,1682
278,4095,2144
279,4095,2035
280,4095,1577
281,4095,1173
282,4095,937
283,4095,1194
284,4095,1941
285,4095,2146
286,4095,1801
287,4095,1326
288,4095,1019
289,4095,936
290,4095,1646
291,4095,2138
292,4095,1983
293,4095,1511
294,4095,1122
295,4095,913
296,4095,1380
297,4095,2048
298,4095,2120
299,4095,1714
300,4095,1273
301,4095,989
302,4095,1275
303,4095,1975
304,4095,2168
305,4095,1894
306,4095,1432
307,4095,1091
308,4095,1292
309,4095,1964
310,4095,2171
311,4095,2020
312,4095,1620
313,4095,1216
314,4095,1207
315,4095,1864
316,4095,2164
317,4095,2102
318,4095,1796
319,4095,1375
320,4095,1312
321,4095,1901
322,4095,2156
323,4095,2120
324,4095,1939
325,4095,1552
326,4095,1423
327,4095,1908
328,4095,2147
329,4095,2117
330,4095,2036
331,4095,1730
332,4095,1495
333,4095,1884
334,4095,2123
335,4095,2122
336,4095,2076
337,4095,1892
338,4095,1548
339,4095,1800
340,4095,2094
341,4095,2123
342,4095,2091
343,4095,2004
344,4095,1669
345,4095,1650
346,4095,2010
347,4095,2134
348,4095,2099
349,4095,2067
350,4095,1836
351,4095,1521
352,4095,1829
