Col37,Col38
0,2228,2402
1,2205,2449
2,2176,2410
3,2093,2344
4,1847,2033
5,1898,1891
6,2182,2270
7,2230,2451
8,2188,2431
9,2154,2392
10,1956,2194
11,1724,1789
12,2001,1949
13,2228,2365
14,2222,2464
15,2179,2417
16,2058,2313
17,1808,1962
18,1756,1684
19,2133,2131
20,2246,2445
21,2202,2450
22,2137,2385
23,1914,2136
24,1687,1714
25,1777,1605
26,2179,2187
27,2252,2469
28,2194,2444
29,2020,2277
30,1770,1891
31,1604,1495
32,1932,1753
33,2239,2340
34,2234,2481
35,2119,2387
36,1867,2069
37,1661,1647
38,1561,1341
39,1983,1792
40,2259,2387
41,2217,2481
42,1983,2247
43,1729,1815
44,1586,1443
45,1654,1359
46,2136,2057
47,2271,2473
48,2108,2400
49,1826,2007
50,1635,1579
51,1539,1295
52,1773,1459
53,2205,2212
54,2229,2485
55,1948,2212
56,1690,1740
57,1567,1387
58,1524,1202
59,1988,1762
60,2261,2394
61,2093,2391
62,1779,1938
63,1599,1505
64,1530,1252
65,1757,1427
66,2201,2200
67,2204,2471
68,1900,2149
69,1655,1669
70,1546,1339
71,1635,1303
72,2133,2041
73,2264,2474
74,2028,2322
75,1741,1860
76,1583,1461
77,1540,1252
78,2016,1832
79,2261,2417
80,2147,2442
81,1846,2062
82,1637,1615
83,1559,1333
84,2007,1834
85,2259,2406
86,2200,2478
87,1953,2225
88,1708,1788
89,1597,1449
90,2025,1899
91,2246,2406
92,2212,2476
93,2063,2339
94,1806,1976
95,1655,1600
96,2039,1970
97,2241,2409
98,2208,2464
99,2139,2395
100,1915,2149
101,1691,1735
102,1960,1882
103,2223,2349
104,2219,2467
105,2170,2417
106,2027,2286
107,1823,1913
108,1943,1914
109,2204,2321
110,2221,2457
111,2179,2423
112,2113,2364
113,1886,2094
114,1877,1897
115,2170,2253
116,2226,2445
117,2185,2429
118,2163,2397
119,1992,2241
120,1789,1888
121,2071,2093
122,2225,2401
123,2205,2446
124,2172,2407
125,2089,2341
126,1844,2028
127,1854,1830
128,2169,2232
129,2236,2451
130,2188,2433
131,2150,2389
132,1955,2189
133,1720,1784
134,2006,1956
135,2233,2371
136,2217,2462
137,2178,2413
138,2056,2308
139,1807,1957
140,1676,1600
141,2070,2006
142,2253,2423
143,2213,2464
144,2134,2388
145,1907,2125
146,1689,1709
147,1783,1612
148,2178,2195
149,2249,2473
150,2190,2442
151,2014,2269
152,1764,1882
153,1607,1493
154,1813,1577
155,2213,2243
156,2253,2489
157,2124,2400
158,1860,2061
159,1655,1637
160,1563,1339
161,1991,1804
162,2260,2391
163,2217,2483
164,1978,2240
165,1724,1805
166,1583,1435
167,1583,1277
168,2074,1928
169,2269,2446
170,2121,2414
171,1822,2008
172,1624,1569
173,1539,1289
174,1723,1387
175,2184,2152
176,2235,2482
177,1953,2221
178,1688,1741
179,1561,1382
180,1520,1197
181,1985,1759
182,2260,2392
183,2087,2386
184,1772,1931
185,1595,1499
186,1524,1245
187,1803,1489
188,2217,2248
189,2199,2473
190,1896,2146
191,1656,1669
192,1545,1340
193,1643,1318
194,2138,2057
195,2256,2475
196,2020,2314
197,1733,1849
198,1580,1455
199,1612,1324
200,2106,2000
201,2261,2461
202,2124,2421
203,1836,2041
204,1633,1606
205,1640,1414
206,2102,2025
207,2258,2458
208,2185,2459
209,1951,2208
210,1708,1781
211,1689,1542
212,2115,2083
213,2247,2453
214,2198,2459
215,2056,2325
216,1805,1970
217,1658,1600
218,2049,1981
219,2243,2413
220,2204,2464
221,2134,2394
222,1912,2143
223,1716,1754
224,2039,2012
225,2229,2396
226,2208,2457
227,2164,2408
228,2022,2282
229,1775,1910
230,1997,1990
231,2215,2356
232,2211,2453
233,2176,2417
234,2110,2362
235,1880,2086
236,1896,1915
237,2174,2267
238,2224,2446
239,2184,2428
240,2163,2397
241,1988,2236
242,1774,1867
243,2053,2057
244,2228,2393
245,2208,2452
246,2173,2409
247,2085,2339
248,1839,2020
249,1860,1836
250,2173,2237
251,2235,2451
252,2189,2433
253,2148,2388
254,1949,2183
255,1722,1773
256,1933,1841
257,2223,2324
258,2232,2469
259,2181,2421
260,2050,2304
261,1801,1947
262,1625,1548
263,1986,1856
264,2245,2376
265,2228,2478
266,2138,2393
267,1901,2117
268,1683,1699
269,1673,1479
270,2122,2059
271,2261,2457
272,2200,2460
273,2010,2269
274,1759,1871
275,1603,1487
276,1822,1589
277,2214,2252
278,2249,2489
279,2120,2397
280,1853,2053
281,1652,1632
282,1557,1325
283,1892,1639
284,2240,2320
285,2229,2491
286,1978,2248
287,1717,1796
288,1580,1428
289,1541,1233
290,2016,1816
291,2266,2414
292,2121,2417
293,1816,1999
294,1617,1556
295,1534,1280
296,1689,1345
297,2169,2116
298,2234,2475
299,1945,2211
300,1681,1724
301,1557,1369
302,1525,1198
303,2003,1791
304,2260,2405
305,2082,2382
306,1769,1925
307,1593,1496
308,1523,1244
309,1812,1505
310,2221,2257
311,2193,2471
312,1894,2140
313,1654,1665
314,1547,1339
315,1729,1420
316,2180,2167
317,2247,2491
318,2008,2302
319,1732,1847
320,1583,1460
321,1723,1458
322,2170,2157
323,2248,2484
324,2108,2400
325,1833,2031
326,1633,1604
327,1762,1560
328,2177,2189
329,2250,2480
330,2164,2437
331,1945,2196
332,1711,1781
333,1695,1549
334,2122,2094
335,2251,2457
336,2195,2456
337,2052,2320
338,1799,1961
339,1743,1681
340,2120,2124
341,2242,2446
342,2195,2451
343,2131,2385
344,1908,2137
345,1765,1797
346,2097,2111
347,2232,2421
348,2199,2450
349,2165,2405
350,2020,2277
351,1786,1912
352,2025,2041
353,2221,2379
354,2208,2450
355,2176,2413
356,2112,2361
357,1875,2082
358,1888,1905
359,2173,2263
360,2225,2447
361,2185,2428
362,2163,2398
363,1981,2232
364,1774,1862
365,2059,2062
366,2224,2394
367,2205,2451
368,2176,2410
369,2083,2336
370,1837,2013
371,1800,1760
372,2148,2176
373,2240,2445
374,2193,2441
375,2148,2388
376,1942,2176
377,1708,1761
378,1842,1709
379,2197,2247
380,2240,2471
381,2189,2435
382,2044,2300
383,1795,1939
384,1630,1545
385,1995,1869
386,2249,2380
387,2225,2475
388,2135,2392
389,1894,2109
390,1680,1692
391,1683,1487
392,2128,2073
393,2258,2458
394,2200,2455
395,2007,2264
396,1755,1862
397,1602,1479
398,1715,1442
399,2170,2134
400,2260,2480
401,2124,2407
402,1849,2047
403,1645,1618
404,1554,1318
405,1806,1506
406,2219,2240
407,2236,2490
408,1977,2252
409,1711,1792
410,1580,1422
411,1526,1215
412,1973,1739
413,2257,2384
414,2124,2420
415,1812,1999
416,1613,1553
417,1538,1277
418,1692,1346
419,2165,2117
420,2225,2473
421,1932,2200
422,1671,1712
423,1553,1363
424,1525,1200
425,2014,1814
426,2264,2415
427,2072,2373
428,1760,1910
429,1589,1487
430,1533,1231
431,1889,1621
432,2242,2326
433,2181,2467
434,1878,2114
435,1646,1648
436,1545,1332
437,1843,1581
438,2221,2282
439,2234,2494
440,1993,2277
441,1729,1835
442,1581,1452
443,1852,1636
444,2223,2295
445,2232,2488
446,2092,2376
447,1829,2019
448,1631,1601
449,1771,1572
450,2180,2200
451,2244,2479
452,2163,2433
453,1937,2186
454,1704,1771
455,1817,1691
456,2185,2232
457,2236,2469
458,2181,2436
459,2047,2311
460,1796,1955
461,1835,1787
462,2169,2229
463,2232,2457
464,2184,2436
465,2127,2377
466,1907,2131
467,1815,1845
468,2132,2182
469,2232,2437
470,2193,2441
471,2164,2400
472,2016,2272
473,1790,1913
474,2041,2061
475,2222,2386
476,2207,2449
477,2176,2411
478,2108,2358
479,1868,2071
480,1895,1911
481,2177,2269
482,2230,2450
483,2187,2429
484,2160,2395
485,1980,2226
486,1749,1836
487,2023,2001
488,2226,2376
489,2216,2458
490,2177,2413
491,2080,2333
492,1831,2004
493,1725,1675
494,2104,2081
495,2245,2432
496,2206,2455
497,2149,2395
498,1937,2169
499,1705,1752
500,1733,1572
501,2155,2137
502,2254,2464
503,2198,2450
504,2041,2301
505,1791,1931
506,1625,1540
507,2000,1877
508,2249,2387
509,2221,2473
510,2131,2390
511,1893,2107
