Col37,Col38
0,4095,759
1,4095,757
2,4095,751
3,4095,731
4,4095,704
5,4095,656
6,4095,595
7,4072,512
8,4007,422
9,3940,320
10,3884,228
11,3829,141
12,3790,73
13,3751,21
14,3744,7
15,3788,41
16,3880,132
17,3984,247
18,4092,374
19,4095,490
20,4095,593
21,4095,666
22,4095,719
23,4095,748
24,4095,761
25,4095,758
26,4095,748
27,4095,734
28,4095,723
29,4095,700
30,4095,671
31,4095,622
32,4095,561
33,4049,478
34,3988,388
35,3924,289
36,3869,201
37,3796,114
38,3796,74
39,3829,85
40,3909,154
41,4004,252
42,4095,371
43,4095,482
44,4095,580
45,4095,654
46,4095,709
47,4095,738
48,4095,754
49,4095,753
50,4095,748
51,4095,733
52,4095,724
53,4095,710
54,4095,700
55,4095,680
56,4095,651
57,4095,601
58,4092,535
59,4029,450
60,3969,359
61,3908,261
62,3857,183
63,3828,116
64,3863,122
65,3932,176
66,4023,269
67,4095,373
68,4095,483
69,4095,574
70,4095,651
71,4095,701
72,4095,735
73,4095,748
74,4095,753
75,4095,745
76,4095,736
77,4095,722
78,4095,712
79,4095,701
80,4095,692
81,4095,670
82,4095,637
83,4095,582
84,4080,512
85,4012,422
86,3951,328
87,3893,235
88,3882,186
89,3917,190
90,3989,244
91,4068,325
92,4095,423
93,4095,515
94,4095,600
95,4095,662
96,4095,709
97,4095,731
98,4095,746
99,4095,744
100,4095,741
101,4095,728
102,4095,719
103,4095,708
104,4095,702
105,4095,693
106,4095,685
107,4095,660
108,4095,624
109,4095,561
110,4062,485
111,3996,392
112,3940,298
113,3900,224
114,3921,209
115,3975,238
116,4053,310
117,4095,396
118,4095,490
119,4095,572
120,4095,643
121,4095,691
122,4095,724
123,4095,739
124,4095,745
125,4095,740
126,4095,733
127,4095,721
128,4095,714
129,4095,702
130,4095,697
131,4095,690
132,4095,679
133,4095,649
134,4095,605
135,4095,537
136,4044,457
137,3976,360
138,3901,262
139,3884,195
140,3905,183
141,3964,217
142,4045,294
143,4095,385
